SW_ID,Date,Low,Q1,Q3,High,Tooltip
SW0053,2023-08-01,500.63,528.44,611.88,667.51,August 2023   $528.44 - $611.88
SW0053,2023-09-01,550.37,571.08,633.22,674.65,September 2023   $571.08 - $633.22
SW0053,2023-10-01,444.85,469.56,543.7,593.13,October 2023   $469.56 - $543.70
SW0053,2023-11-01,480.48,498.56,552.81,588.98,November 2023   $498.56 - $552.81
SW0053,2023-12-01,533.95,563.62,652.61,711.94,December 2023   $563.62 - $652.61
SW0053,2024-01-01,468.99,486.64,539.59,574.89,January 2024   $486.64 - $539.59
SW0053,2024-02-01,477.93,504.48,584.13,637.24,February 2024   $504.48 - $584.13
SW0053,2024-03-01,384.55,399.02,442.44,471.38,March 2024   $399.02 - $442.44
SW0053,2024-04-01,475.6,502.02,581.29,634.14,April 2024   $502.02 - $581.29
SW0053,2024-05-01,370.12,384.05,425.84,453.7,May 2024   $384.05 - $425.84
SW0053,2024-06-01,438.52,462.89,535.97,584.7,June 2024   $462.89 - $535.97
SW0053,2024-07-01,515.71,535.12,593.35,632.16,July 2024   $535.12 - $593.35
SW0053,2024-08-01,376.19,397.09,459.79,501.59,August 2024   $397.09 - $459.79
SW0053,2024-09-01,427.6,443.69,491.97,524.16,September 2024   $443.69 - $491.97
SW0053,2024-10-01,421.05,444.44,514.62,561.4,October 2024   $444.44 - $514.62
SW0053,2024-11-01,476.11,494.02,547.78,583.61,November 2024   $494.02 - $547.78
SW0053,2024-12-01,391.64,413.39,478.67,522.18,December 2024   $413.39 - $478.67
SW0053,2025-01-01,429.98,446.16,494.71,527.07,January 2025   $446.16 - $494.71
SW0053,2025-02-01,478.14,504.71,584.4,637.52,February 2025   $504.71 - $584.40
SW0053,2025-03-01,391.21,405.93,450.1,479.55,March 2025   $405.93 - $450.10
SW0053,2025-04-01,456.87,482.25,558.4,609.16,April 2025   $482.25 - $558.40
SW0053,2025-05-01,413.79,429.36,476.08,507.22,May 2025   $429.36 - $476.08
SW0053,2025-06-01,392.59,414.4,479.84,523.46,June 2025   $414.40 - $479.84
SW0053,2025-07-01,477.86,495.85,549.8,585.77,July 2025   $495.85 - $549.80
SW0275,2021-01-01,141.98,147.32,163.35,174.04,January 2021   $147.32 - $163.35
SW0275,2021-02-01,134.3,141.77,164.15,179.07,February 2021   $141.77 - $164.15
SW0275,2021-03-01,144.23,149.66,165.95,176.8,March 2021   $149.66 - $165.95
SW0275,2021-04-01,147.98,156.2,180.87,197.31,April 2021   $156.20 - $180.87
SW0275,2021-05-01,130.2,135.1,149.8,159.6,May 2021   $135.10 - $149.80
SW0275,2021-06-01,120.99,127.71,147.87,161.32,June 2021   $127.71 - $147.87
SW0275,2021-07-01,137.52,142.7,158.22,168.58,July 2021   $142.70 - $158.22
SW0275,2021-08-01,148.17,156.4,181.1,197.56,August 2021   $156.40 - $181.10
SW0275,2021-09-01,140.22,145.5,161.33,171.89,September 2021   $145.50 - $161.33
SW0275,2021-10-01,171.19,180.7,209.23,228.25,October 2021   $180.70 - $209.23
SW0275,2021-11-01,165.92,172.17,190.9,203.39,November 2021   $172.17 - $190.90
SW0275,2021-12-01,150.64,159.01,184.11,200.85,December 2021   $159.01 - $184.11
SW0275,2022-01-01,190.67,197.84,219.37,233.72,January 2022   $197.84 - $219.37
SW0275,2022-02-01,231.06,243.9,282.41,308.08,February 2022   $243.90 - $282.41
SW0275,2022-03-01,297.73,308.94,342.55,364.96,March 2022   $308.94 - $342.55
SW0275,2022-04-01,309.95,327.17,378.83,413.27,April 2022   $327.17 - $378.83
SW0275,2022-05-01,299.67,310.95,344.78,367.34,May 2022   $310.95 - $344.78
SW0275,2022-06-01,311.83,329.15,381.12,415.77,June 2022   $329.15 - $381.12
SW0275,2022-07-01,301.61,312.96,347.01,369.71,July 2022   $312.96 - $347.01
SW0275,2022-08-01,313.7,331.13,383.41,418.27,August 2022   $331.13 - $383.41
SW0275,2022-09-01,303.54,314.97,349.24,372.08,September 2022   $314.97 - $349.24
SW0275,2022-10-01,315.57,333.11,385.7,420.77,October 2022   $333.11 - $385.70
SW0275,2022-11-01,305.48,316.97,351.46,374.46,November 2022   $316.97 - $351.46
SW0275,2022-12-01,317.45,335.08,387.99,423.26,December 2022   $335.08 - $387.99
SW0275,2023-01-01,307.41,318.98,353.69,376.83,January 2023   $318.98 - $353.69
SW0275,2023-02-01,319.32,337.06,390.28,425.76,February 2023   $337.06 - $390.28
SW0275,2023-03-01,309.35,320.99,355.92,379.2,March 2023   $320.99 - $355.92
SW0275,2023-04-01,321.2,339.04,392.57,428.26,April 2023   $339.04 - $392.57
SW0275,2023-05-01,311.29,323.0,358.15,381.58,May 2023   $323.00 - $358.15
SW0275,2023-06-01,323.07,341.02,394.86,430.76,June 2023   $341.02 - $394.86
SW0275,2023-07-01,313.22,325.01,360.37,383.95,July 2023   $325.01 - $360.37
SW0275,2023-08-01,324.94,342.99,397.15,433.26,August 2023   $342.99 - $397.15
SW0275,2023-09-01,315.16,327.02,362.6,386.32,September 2023   $327.02 - $362.60
SW0275,2023-10-01,326.82,344.97,399.44,435.75,October 2023   $344.97 - $399.44
SW0275,2023-11-01,317.09,329.03,364.83,388.7,November 2023   $329.03 - $364.83
SW0275,2023-12-01,337.55,356.31,412.56,450.07,December 2023   $356.31 - $412.56
SW0275,2024-01-01,440.97,457.57,507.36,540.55,January 2024   $457.57 - $507.36
SW0275,2024-02-01,349.12,368.51,426.7,465.49,February 2024   $368.51 - $426.70
SW0275,2024-03-01,368.04,381.89,423.44,451.14,March 2024   $381.89 - $423.44
SW0275,2024-04-01,410.09,432.88,501.22,546.79,April 2024   $432.88 - $501.22
SW0275,2024-05-01,379.55,393.83,436.68,465.25,May 2024   $393.83 - $436.68
SW0275,2024-06-01,299.76,316.41,366.37,399.68,June 2024   $316.41 - $366.37
SW0275,2024-07-01,340.73,353.55,392.02,417.67,July 2024   $353.55 - $392.02
SW0275,2024-08-01,362.71,382.86,443.31,483.61,August 2024   $382.86 - $443.31
SW0275,2024-09-01,374.26,388.34,430.6,458.77,September 2024   $388.34 - $430.60
SW0275,2024-10-01,384.81,406.18,470.32,513.08,October 2024   $406.18 - $470.32
SW0275,2024-11-01,401.81,416.93,462.3,492.54,November 2024   $416.93 - $462.30
SW0275,2024-12-01,335.69,354.34,410.29,447.59,December 2024   $354.34 - $410.29
SW0275,2025-01-01,357.59,371.04,411.42,438.33,January 2025   $371.04 - $411.42
SW0275,2025-02-01,292.52,308.77,357.52,390.03,February 2025   $308.77 - $357.52
SW0275,2025-03-01,390.48,405.17,449.26,478.65,March 2025   $405.17 - $449.26
SW0275,2025-04-01,343.32,362.4,419.62,457.77,April 2025   $362.40 - $419.62
SW0275,2025-05-01,309.64,321.29,356.25,379.56,May 2025   $321.29 - $356.25
SW0275,2025-06-01,335.85,354.51,410.48,447.8,June 2025   $354.51 - $410.48
SW0275,2025-07-01,347.67,360.76,400.01,426.18,July 2025   $360.76 - $400.01
SW0438,2021-09-01,12.94,13.43,14.89,15.87,September 2021   $13.43 - $14.89
SW0438,2021-10-01,11.74,12.39,14.35,15.65,October 2021   $12.39 - $14.35
SW0438,2021-11-01,13.02,13.51,14.98,15.96,November 2021   $13.51 - $14.98
SW0438,2021-12-01,11.81,12.47,14.44,15.75,December 2021   $12.47 - $14.44
SW0438,2022-01-01,11.29,11.71,12.99,13.84,January 2022   $11.71 - $12.99
SW0438,2022-02-01,11.89,12.55,14.53,15.85,February 2022   $12.55 - $14.53
SW0438,2022-03-01,13.17,13.67,15.16,16.15,March 2022   $13.67 - $15.16
SW0438,2022-04-01,11.96,12.62,14.62,15.95,April 2022   $12.62 - $14.62
SW0438,2022-05-01,13.25,13.75,15.25,16.24,May 2022   $13.75 - $15.25
SW0438,2022-06-01,12.03,12.7,14.71,16.05,June 2022   $12.70 - $14.71
SW0438,2022-07-01,13.33,13.83,15.33,16.34,July 2022   $13.83 - $15.33
SW0438,2022-08-01,12.11,12.78,14.8,16.14,August 2022   $12.78 - $14.80
SW0438,2022-09-01,13.4,13.91,15.42,16.43,September 2022   $13.91 - $15.42
SW0438,2022-10-01,12.18,12.86,14.89,16.24,October 2022   $12.86 - $14.89
SW0438,2022-11-01,11.77,12.22,13.55,14.43,November 2022   $12.22 - $13.55
SW0438,2022-12-01,12.26,12.94,14.98,16.34,December 2022   $12.94 - $14.98
SW0438,2023-01-01,11.85,12.3,13.63,14.53,January 2023   $12.30 - $13.63
SW0438,2023-02-01,12.33,13.02,15.07,16.44,February 2023   $13.02 - $15.07
SW0438,2023-03-01,11.93,12.38,13.72,14.62,March 2023   $12.38 - $13.72
SW0438,2023-04-01,12.4,13.09,15.16,16.54,April 2023   $13.09 - $15.16
SW0438,2023-05-01,12.0,12.45,13.81,14.71,May 2023   $12.45 - $13.81
SW0438,2023-06-01,12.48,13.17,15.25,16.64,June 2023   $13.17 - $15.25
SW0438,2023-07-01,12.08,12.53,13.9,14.81,July 2023   $12.53 - $13.90
SW0438,2023-08-01,12.55,13.25,15.34,16.74,August 2023   $13.25 - $15.34
SW0438,2023-09-01,12.16,12.61,13.99,14.9,September 2023   $12.61 - $13.99
SW0438,2023-10-01,12.63,13.33,15.43,16.84,October 2023   $13.33 - $15.43
SW0438,2023-11-01,12.23,12.69,14.07,14.99,November 2023   $12.69 - $14.07
SW0438,2023-12-01,12.7,13.41,15.52,16.93,December 2023   $13.41 - $15.52
SW0438,2024-01-01,12.31,12.77,14.16,15.09,January 2024   $12.77 - $14.16
SW0438,2024-02-01,12.78,13.48,15.61,17.03,February 2024   $13.48 - $15.61
SW0438,2024-03-01,12.39,12.85,14.25,15.18,March 2024   $12.85 - $14.25
SW0438,2024-04-01,12.85,13.56,15.7,17.13,April 2024   $13.56 - $15.70
SW0438,2024-05-01,12.46,12.93,14.34,15.28,May 2024   $12.93 - $14.34
SW0438,2024-06-01,14.25,15.04,17.41,18.99,June 2024   $15.04 - $17.41
SW0438,2024-07-01,14.26,14.8,16.41,17.48,July 2024   $14.80 - $16.41
SW0438,2024-08-01,13.03,13.76,15.93,17.38,August 2024   $13.76 - $15.93
SW0438,2024-09-01,14.1,14.63,16.22,17.28,September 2024   $14.63 - $16.22
SW0438,2024-10-01,13.63,14.39,16.66,18.18,October 2024   $14.39 - $16.66
SW0438,2024-11-01,13.49,14.0,15.52,16.53,November 2024   $14.00 - $15.52
SW0438,2024-12-01,12.5,13.19,15.28,16.66,December 2024   $13.19 - $15.28
SW0438,2025-01-01,13.74,14.26,15.81,16.84,January 2025   $14.26 - $15.81
SW0438,2025-02-01,12.64,13.34,15.45,16.85,February 2025   $13.34 - $15.45
SW0438,2025-03-01,13.11,13.61,15.09,16.08,March 2025   $13.61 - $15.09
SW0438,2025-04-01,13.1,13.83,16.01,17.47,April 2025   $13.83 - $16.01
SW0438,2025-05-01,13.61,14.12,15.66,16.68,May 2025   $14.12 - $15.66
SW0438,2025-06-01,12.59,13.29,15.39,16.79,June 2025   $13.29 - $15.39
SW0438,2025-07-01,12.8,13.28,14.72,15.69,July 2025   $13.28 - $14.72
SW1100,2021-06-01,29.44,31.07,35.98,39.25,June 2021   $31.07 - $35.98
SW1100,2021-07-01,28.5,29.58,32.8,34.94,July 2021   $29.58 - $32.80
SW1100,2021-08-01,29.61,31.26,36.19,39.48,August 2021   $31.26 - $36.19
SW1100,2021-09-01,28.68,29.76,33.0,35.16,September 2021   $29.76 - $33.00
SW1100,2021-10-01,29.79,31.44,36.41,39.72,October 2021   $31.44 - $36.41
SW1100,2021-11-01,28.86,29.95,33.21,35.38,November 2021   $29.95 - $33.21
SW1100,2021-12-01,29.96,31.63,36.62,39.95,December 2021   $31.63 - $36.62
SW1100,2022-01-01,29.04,30.14,33.42,35.6,January 2022   $30.14 - $33.42
SW1100,2022-02-01,30.14,31.81,36.83,40.18,February 2022   $31.81 - $36.83
SW1100,2022-03-01,29.22,30.32,33.62,35.82,March 2022   $30.32 - $33.62
SW1100,2022-04-01,30.31,31.99,37.05,40.41,April 2022   $31.99 - $37.05
SW1100,2022-05-01,29.4,30.51,33.83,36.04,May 2022   $30.51 - $33.83
SW1100,2022-06-01,30.48,32.18,37.26,40.65,June 2022   $32.18 - $37.26
SW1100,2022-07-01,29.58,30.7,34.04,36.26,July 2022   $30.70 - $34.04
SW1100,2022-08-01,26.78,28.26,32.73,35.7,August 2022   $28.26 - $32.73
SW1100,2022-09-01,29.76,30.88,34.24,36.49,September 2022   $30.88 - $34.24
SW1100,2022-10-01,26.95,28.45,32.94,35.93,October 2022   $28.45 - $32.94
SW1100,2022-11-01,29.94,31.07,34.45,36.71,November 2022   $31.07 - $34.45
SW1100,2022-12-01,27.12,28.63,33.15,36.17,December 2022   $28.63 - $33.15
SW1100,2023-01-01,30.12,31.26,34.66,36.93,January 2023   $31.26 - $34.66
SW1100,2023-02-01,27.3,28.81,33.36,36.4,February 2023   $28.81 - $33.36
SW1100,2023-03-01,30.3,31.44,34.87,37.15,March 2023   $31.44 - $34.87
SW1100,2023-04-01,27.47,29.0,33.58,36.63,April 2023   $29.00 - $33.58
SW1100,2023-05-01,30.48,31.63,35.07,37.37,May 2023   $31.63 - $35.07
SW1100,2023-06-01,27.65,29.18,33.79,36.86,June 2023   $29.18 - $33.79
SW1100,2023-07-01,30.66,31.82,35.28,37.59,July 2023   $31.82 - $35.28
SW1100,2023-08-01,27.82,29.37,34.0,37.09,August 2023   $29.37 - $34.00
SW1100,2023-09-01,30.84,32.0,35.49,37.81,September 2023   $32.00 - $35.49
SW1100,2023-10-01,27.99,29.55,34.22,37.33,October 2023   $29.55 - $34.22
SW1100,2023-11-01,31.82,33.02,36.61,39.01,November 2023   $33.02 - $36.61
SW1100,2023-12-01,37.04,39.1,45.27,49.39,December 2023   $39.10 - $45.27
SW1100,2024-01-01,49.65,51.52,57.12,60.86,January 2024   $51.52 - $57.12
SW1100,2024-02-01,49.67,52.43,60.71,66.23,February 2024   $52.43 - $60.71
SW1100,2024-03-01,58.32,60.52,67.1,71.49,March 2024   $60.52 - $67.10
SW1100,2024-04-01,46.78,49.38,57.18,62.38,April 2024   $49.38 - $57.18
SW1100,2024-05-01,48.41,50.23,55.7,59.34,May 2024   $50.23 - $55.70
SW1100,2024-06-01,56.67,59.82,69.27,75.57,June 2024   $59.82 - $69.27
SW1100,2024-07-01,50.73,52.64,58.37,62.19,July 2024   $52.64 - $58.37
SW1100,2024-08-01,49.99,52.77,61.1,66.66,August 2024   $52.77 - $61.10
SW1100,2024-09-01,52.89,54.88,60.86,64.84,September 2024   $54.88 - $60.86
SW1100,2024-10-01,55.04,58.1,67.27,73.39,October 2024   $58.10 - $67.27
SW1100,2024-11-01,51.71,53.66,59.5,63.39,November 2024   $53.66 - $59.50
SW1100,2024-12-01,39.26,41.44,47.98,52.35,December 2024   $41.44 - $47.98
SW1100,2025-01-01,44.62,46.3,51.34,54.7,January 2025   $46.30 - $51.34
SW1100,2025-02-01,53.43,56.4,65.3,71.24,February 2025   $56.40 - $65.30
SW1100,2025-03-01,49.58,51.44,57.04,60.77,March 2025   $51.44 - $57.04
SW1100,2025-04-01,55.06,58.12,67.3,73.42,April 2025   $58.12 - $67.30
SW1100,2025-05-01,61.13,63.43,70.33,74.93,May 2025   $63.43 - $70.33
SW1100,2025-06-01,46.45,49.03,56.77,61.93,June 2025   $49.03 - $56.77
SW1100,2025-07-01,57.02,59.17,65.6,69.89,July 2025   $59.17 - $65.60
SW0494,2024-03-01,27.27,28.3,31.38,33.43,March 2024   $28.30 - $31.38
SW0494,2024-04-01,24.73,26.1,30.22,32.97,April 2024   $26.10 - $30.22
SW0494,2024-05-01,27.43,28.46,31.56,33.63,May 2024   $28.46 - $31.56
SW0494,2024-06-01,24.89,26.27,30.42,33.18,June 2024   $26.27 - $30.42
SW0494,2024-07-01,23.25,24.13,26.75,28.5,July 2024   $24.13 - $26.75
SW0494,2024-08-01,22.22,23.46,27.16,29.63,August 2024   $23.46 - $27.16
SW0494,2024-09-01,27.75,28.8,31.93,34.02,September 2024   $28.80 - $31.93
SW0494,2024-10-01,25.2,26.6,30.8,33.6,October 2024   $26.60 - $30.80
SW0494,2024-11-01,27.92,28.97,32.12,34.22,November 2024   $28.97 - $32.12
SW0494,2024-12-01,25.35,26.76,30.99,33.8,December 2024   $26.76 - $30.99
SW0494,2025-01-01,28.08,29.13,32.3,34.42,January 2025   $29.13 - $32.30
SW0494,2025-02-01,25.51,26.93,31.18,34.01,February 2025   $26.93 - $31.18
SW0494,2025-03-01,28.24,29.3,32.49,34.61,March 2025   $29.30 - $32.49
SW0494,2025-04-01,25.67,27.09,31.37,34.22,April 2025   $27.09 - $31.37
SW0494,2025-05-01,24.8,25.74,28.54,30.4,May 2025   $25.74 - $28.54
SW0494,2025-06-01,25.82,27.26,31.56,34.43,June 2025   $27.26 - $31.56
SW0494,2025-07-01,24.96,25.9,28.72,30.6,July 2025   $25.90 - $28.72
SW1149,2021-08-01,14.39,15.19,15.99,15.99,August 2021   $15.19 - $15.99
SW1149,2021-09-01,16.36,16.97,17.59,17.59,September 2021   $16.97 - $17.59
SW1149,2021-10-01,14.28,15.07,15.87,15.87,October 2021   $15.07 - $15.87
SW1149,2021-11-01,12.84,13.32,13.8,13.8,November 2021   $13.32 - $13.80
SW1149,2021-12-01,11.68,12.33,12.98,12.98,December 2021   $12.33 - $12.98
SW1149,2022-01-01,12.12,12.57,13.94,14.85,January 2022   $12.57 - $13.94
SW1149,2022-02-01,11.81,12.47,14.44,15.75,February 2022   $12.47 - $14.44
SW1149,2022-03-01,10.6,11.0,12.19,12.99,March 2022   $11.00 - $12.19
SW1149,2022-04-01,10.58,11.17,12.94,14.11,April 2022   $11.17 - $12.94
SW1149,2022-05-01,11.27,11.69,12.97,13.81,May 2022   $11.69 - $12.97
SW1149,2022-06-01,10.21,10.77,12.47,13.61,June 2022   $10.77 - $12.47
SW1149,2022-07-01,10.07,10.44,11.58,12.34,July 2022   $10.44 - $11.58
SW1149,2022-08-01,9.84,10.39,12.03,13.12,August 2022   $10.39 - $12.03
SW1149,2022-09-01,10.42,10.82,11.99,12.78,September 2022   $10.82 - $11.99
SW1149,2022-10-01,10.39,10.97,12.7,13.86,October 2022   $10.97 - $12.70
SW1149,2022-11-01,10.65,11.06,12.26,13.06,November 2022   $11.06 - $12.26
SW1149,2022-12-01,11.16,11.78,13.64,14.88,December 2022   $11.78 - $13.64
SW1149,2023-01-01,13.45,13.96,15.48,16.49,January 2023   $13.96 - $15.48
SW1149,2023-02-01,16.38,17.29,20.02,21.84,February 2023   $17.29 - $20.02
SW1149,2023-03-01,15.37,15.94,17.68,18.84,March 2023   $15.94 - $17.68
SW1149,2023-04-01,16.48,17.4,20.14,21.98,April 2023   $17.40 - $20.14
SW1149,2023-05-01,18.73,19.44,21.55,22.96,May 2023   $19.44 - $21.55
SW1149,2023-06-01,22.12,23.34,27.03,29.49,June 2023   $23.34 - $27.03
SW1149,2023-07-01,25.23,26.18,29.02,30.92,July 2023   $26.18 - $29.02
SW1149,2023-08-01,25.41,26.82,31.05,33.88,August 2023   $26.82 - $31.05
SW1149,2023-09-01,22.87,23.73,26.31,28.03,September 2023   $23.73 - $26.31
SW1149,2023-10-01,26.39,27.85,32.25,35.18,October 2023   $27.85 - $32.25
SW1149,2023-11-01,25.6,26.57,29.46,31.38,November 2023   $26.57 - $29.46
SW1149,2023-12-01,24.14,25.48,29.51,32.19,December 2023   $25.48 - $29.51
SW1149,2024-01-01,27.47,28.5,31.6,33.67,January 2024   $28.50 - $31.60
SW1149,2024-02-01,27.32,28.84,33.39,36.42,February 2024   $28.84 - $33.39
SW1149,2024-03-01,25.09,26.04,28.87,30.76,March 2024   $26.04 - $28.87
SW1149,2024-04-01,27.97,29.52,34.19,37.29,April 2024   $29.52 - $34.19
SW1149,2024-05-01,28.47,29.54,32.75,34.89,May 2024   $29.54 - $32.75
SW1149,2024-06-01,31.49,33.24,38.48,41.98,June 2024   $33.24 - $38.48
SW1149,2024-07-01,32.57,33.8,37.47,39.93,July 2024   $33.80 - $37.47
SW1149,2024-08-01,33.89,35.77,41.42,45.18,August 2024   $35.77 - $41.42
SW1149,2024-09-01,34.42,35.72,39.6,42.19,September 2024   $35.72 - $39.60
SW1149,2024-10-01,32.39,34.18,39.58,43.18,October 2024   $34.18 - $39.58
SW1149,2024-11-01,32.52,33.74,37.42,39.86,November 2024   $33.74 - $37.42
SW1149,2024-12-01,28.58,30.17,34.94,38.11,December 2024   $30.17 - $34.94
SW1149,2025-01-01,32.53,33.75,37.42,39.87,January 2025   $33.75 - $37.42
SW1149,2025-02-01,32.93,34.76,40.25,43.91,February 2025   $34.76 - $40.25
SW1149,2025-03-01,34.04,35.33,39.17,41.73,March 2025   $35.33 - $39.17
SW1149,2025-04-01,32.61,34.42,39.86,43.48,April 2025   $34.42 - $39.86
SW1149,2025-05-01,33.06,34.31,38.04,40.53,May 2025   $34.31 - $38.04
SW1149,2025-06-01,32.76,34.58,40.05,43.69,June 2025   $34.58 - $40.05
SW0233,2020-05-01,17.61,18.28,20.27,21.59,May 2020   $18.28 - $20.27
SW0233,2020-06-01,15.97,16.86,19.52,21.3,June 2020   $16.86 - $19.52
SW0233,2020-07-01,17.72,18.39,20.39,21.72,July 2020   $18.39 - $20.39
SW0233,2020-08-01,16.07,16.97,19.65,21.43,August 2020   $16.97 - $19.65
SW0233,2020-09-01,17.82,18.49,20.51,21.85,September 2020   $18.49 - $20.51
SW0233,2020-10-01,16.17,17.07,19.77,21.57,October 2020   $17.07 - $19.77
SW0233,2020-11-01,17.93,18.6,20.63,21.98,November 2020   $18.60 - $20.63
SW0233,2020-12-01,16.28,17.18,19.89,21.7,December 2020   $17.18 - $19.89
SW0233,2021-01-01,18.03,18.71,20.75,22.1,January 2021   $18.71 - $20.75
SW0233,2021-02-01,16.38,17.29,20.02,21.83,February 2021   $17.29 - $20.02
SW0233,2021-03-01,18.14,18.82,20.87,22.23,March 2021   $18.82 - $20.87
SW0233,2021-04-01,16.48,17.39,20.14,21.97,April 2021   $17.39 - $20.14
SW0233,2021-05-01,18.24,18.93,20.99,22.36,May 2021   $18.93 - $20.99
SW0233,2021-06-01,16.58,17.5,20.26,22.1,June 2021   $17.50 - $20.26
SW0233,2021-07-01,16.02,16.62,18.43,19.64,July 2021   $16.62 - $18.43
SW0233,2021-08-01,16.68,17.61,20.38,22.24,August 2021   $17.61 - $20.38
SW0233,2021-09-01,16.13,16.73,18.55,19.77,September 2021   $16.73 - $18.55
SW0233,2021-10-01,16.78,17.71,20.51,22.37,October 2021   $17.71 - $20.51
SW0233,2021-11-01,16.23,16.84,18.67,19.89,November 2021   $16.84 - $18.67
SW0233,2021-12-01,16.88,17.82,20.63,22.51,December 2021   $17.82 - $20.63
SW0233,2022-01-01,16.33,16.95,18.79,20.02,January 2022   $16.95 - $18.79
SW0233,2022-02-01,16.98,17.92,20.75,22.64,February 2022   $17.92 - $20.75
SW0233,2022-03-01,16.44,17.06,18.91,20.15,March 2022   $17.06 - $18.91
SW0233,2022-04-01,17.08,18.03,20.88,22.78,April 2022   $18.03 - $20.88
SW0233,2022-05-01,16.54,17.16,19.03,20.28,May 2022   $17.16 - $19.03
SW0233,2022-06-01,17.18,18.14,21.0,22.91,June 2022   $18.14 - $21.00
SW0233,2022-07-01,16.65,17.27,19.15,20.4,July 2022   $17.27 - $19.15
SW0233,2022-08-01,12.3,12.99,15.04,16.41,August 2022   $12.99 - $15.04
SW0233,2022-09-01,13.99,14.51,16.09,17.14,September 2022   $14.51 - $16.09
SW0233,2022-10-01,17.38,18.35,21.25,23.18,October 2022   $18.35 - $21.25
SW0233,2022-11-01,16.85,17.49,19.39,20.66,November 2022   $17.49 - $19.39
SW0233,2022-12-01,13.86,14.63,16.94,18.49,December 2022   $14.63 - $16.94
SW0233,2023-01-01,12.95,13.44,14.9,15.88,January 2023   $13.44 - $14.90
SW0233,2023-02-01,15.58,16.44,19.04,20.77,February 2023   $16.44 - $19.04
SW0233,2023-03-01,15.56,16.14,17.9,19.07,March 2023   $16.14 - $17.90
SW0233,2023-04-01,12.98,13.7,15.87,17.31,April 2023   $13.70 - $15.87
SW0233,2023-05-01,15.2,15.77,17.49,18.63,May 2023   $15.77 - $17.49
SW0233,2023-06-01,16.75,17.68,20.47,22.33,June 2023   $17.68 - $20.47
SW0233,2023-07-01,15.44,16.02,17.77,18.93,July 2023   $16.02 - $17.77
